コード,銘柄名
7716,ナカニシ
7729,東京精密
7733,オリンパス
7735,SCREENホールディングス
7740,タムロン
7741,HOYA
7744,ノーリツ鋼機
7747,朝日インテック
7751,キヤノン
7762,シチズン時計
7832,バンダイナムコホールディングス
7846,パイロットコーポレーション
7867,タカラトミー
7906,ヨネックス
7912,大日本印刷
7936,アシックス
7944,ローランド
7951,ヤマハ
7974,任天堂
7988,ニフコ
7994,オカムラ
8001,伊藤忠商事
8002,丸紅
8015,豊田通商
8020,兼松
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8056,BIPROGY
8058,三菱商事
8060,キヤノンマーケティングジャパン
8078,阪和興業
8088,岩谷産業
8098,稲畑産業
8111,ゴールドウイン
8113,ユニ・チャーム
8130,サンゲツ
8133,伊藤忠エネクス
8136,サンリオ
8154,加賀電子
8174,日本瓦斯
8194,ライフコーポレーション
8227,しまむら
8252,丸井グループ
8253,クレディセゾン
8306,三菱UFJフィナンシャル・グループ
8308,りそなホールディングス
8309,三井住友トラストグループ
8316,三井住友フィナンシャルグループ
8331,千葉銀行
8354,ふくおかフィナンシャルグループ
8410,セブン銀行
8411,みずほフィナンシャルグループ
8424,芙蓉総合リース
8425,みずほリース
8439,東京センチュリー
8473,SBIホールディングス
8515,アイフル
8572,アコム
8584,ジャックス
8591,オリックス
8593,三菱HCキャピタル
8601,大和証券グループ本社
8604,野村ホールディングス
8630,SOMPOホールディングス
8697,日本取引所グループ
8725,MS&ADインシュアランスグループホールディングス
8729,ソニーフィナンシャルグループ
8750,第一生命ホールディングス
8766,東京海上ホールディングス
8801,三井不動産
8802,三菱地所
8804,東京建物
8830,住友不動産
8848,レオパレス21
8850,スターツコーポレーション
8876,リログループ
8919,カチタス
8923,トーセイ
9005,東急
9006,京浜急行電鉄
9007,小田急電鉄
9008,京王電鉄
9009,京成電鉄
9021,西日本旅客鉄道
9022,東海旅客鉄道
9024,西武ホールディングス
9041,近鉄グループホールディングス
9064,ヤマトホールディングス
9065,山九
9069,センコーグループホールディングス
9090,AZ-COM丸和ホールディングス
9101,日本郵船
9104,商船三井
9107,川崎汽船
9110,NSユナイテッド海運
9119,飯野海運
9142,九州旅客鉄道
9143,SGホールディングス
9147,NIPPON EXPRESSホールディングス
9201,日本航空
9202,ANAホールディングス
9302,三井倉庫ホールディングス
9418,U-NEXT HOLDINGS
9432,NTT
9433,KDDI
9434,ソフトバンク
9435,光通信
9449,GMOインターネットグループ
9502,中部電力
9503,関西電力
9506,東北電力
9507,四国電力
9508,九州電力
9509,北海道電力
9513,電源開発
9531,東京瓦斯
9532,大阪瓦斯
9602,東宝
9684,スクウェア・エニックス・ホールディングス
9697,カプコン
9719,SCSK
9735,セコム
9744,メイテックグループホールディングス
9759,NSD
9766,コナミグループ
9843,ニトリホールディングス
9962,ミスミグループ本社
9983,ファーストリテイリング
9984,ソフトバンクグループ
9989,サンドラッグ
417A,ブルーゾーンホールディングス
